kepid,kepoi_name,koi_disposition
9030447,K01401.01,FALSE POSITIVE
3858704,K01211.01,FALSE POSITIVE
3556220,K01213.01,FALSE POSITIVE
8509361,K01280.01,FALSE POSITIVE
4386059,K01340.01,FALSE POSITIVE
9007866,K01407.01,FALSE POSITIVE
3542588,K01217.01,FALSE POSITIVE
3440861,K01219.01,FALSE POSITIVE
10960993,K01284.01,FALSE POSITIVE
10599397,K01285.01,FALSE POSITIVE
10879208,K01286.01,FALSE POSITIVE
10843203,K01287.01,FALSE POSITIVE
4570931,K01343.01,FALSE POSITIVE
7284688,K01345.01,FALSE POSITIVE
7199774,K01346.01,FALSE POSITIVE
7037540,K01347.01,FALSE POSITIVE
6866228,K01348.01,FALSE POSITIVE
4060815,K01222.01,FALSE POSITIVE
6613006,K01223.01,FALSE POSITIVE
6606653,K01224.01,FALSE POSITIVE
10748393,K01289.01,FALSE POSITIVE
10874226,K01290.01,FALSE POSITIVE
10661771,K01291.01,FALSE POSITIVE
10924853,K01292.01,FALSE POSITIVE
10874926,K01293.01,FALSE POSITIVE
6631721,K00160.01,FALSE POSITIVE
6847018,K01349.01,FALSE POSITIVE
7220322,K01350.01,FALSE POSITIVE
6956233,K01352.01,FALSE POSITIVE
8916492,K01414.01,FALSE POSITIVE
11193447,K01415.01,FALSE POSITIVE
11599264,K01417.01,FALSE POSITIVE
11100657,K01418.01,FALSE POSITIVE
6621116,K01226.01,FALSE POSITIVE
6629332,K01227.01,FALSE POSITIVE
6387450,K01228.01,FALSE POSITIVE
6432059,K01229.01,FALSE POSITIVE
6470149,K01230.01,FALSE POSITIVE
10549562,K01294.01,FALSE POSITIVE
10666230,K01295.01,FALSE POSITIVE
10971674,K01296.01,FALSE POSITIVE
6891543,K01354.01,FALSE POSITIVE
11125936,K01419.01,FALSE POSITIVE
6462874,K01231.01,FALSE POSITIVE
6665223,K01232.01,FALSE POSITIVE
6545358,K01233.01,FALSE POSITIVE
6390824,K01234.01,FALSE POSITIVE
6546528,K01235.01,FALSE POSITIVE
10676923,K01297.01,FALSE POSITIVE
9970525,K00154.01,FALSE POSITIVE
6531491,K01237.01,FALSE POSITIVE
7023960,K00187.01,FALSE POSITIVE
10033279,K01604.01,FALSE POSITIVE
5009189,K01605.01,FALSE POSITIVE
9602514,K01490.01,FALSE POSITIVE
12108312,K01492.01,FALSE POSITIVE
5477805,K01607.01,FALSE POSITIVE
9842906,K01493.01,FALSE POSITIVE
4828341,K01496.01,FALSE POSITIVE
10019763,K01558.01,FALSE POSITIVE
9899280,K01559.01,FALSE POSITIVE
4940438,K01561.01,FALSE POSITIVE
5308663,K01562.01,FALSE POSITIVE
5474733,K01610.01,FALSE POSITIVE
10125352,K00021.01,FALSE POSITIVE
11820830,K01728.01,FALSE POSITIVE
11774387,K01497.01,FALSE POSITIVE
12504988,K00181.01,FALSE POSITIVE
10799735,K00193.01,FALSE POSITIVE
9719634,K01500.01,FALSE POSITIVE
12061238,K01502.01,FALSE POSITIVE
8323753,K00175.01,FALSE POSITIVE
5636648,K01565.01,FALSE POSITIVE
5564247,K01566.01,FALSE POSITIVE
7032421,K01747.01,FALSE POSITIVE
9641018,K01504.01,FALSE POSITIVE
9535080,K01509.01,FALSE POSITIVE
5210475,K01568.01,FALSE POSITIVE
8043714,K01765.01,FALSE POSITIVE
7918217,K01770.01,FALSE POSITIVE
11955499,K01512.01,FALSE POSITIVE
9784222,K01513.01,FALSE POSITIVE
5376836,K00182.01,FALSE POSITIVE
5557821,K01571.01,FALSE POSITIVE
11043136,K01644.01,FALSE POSITIVE
5771719,K00190.01,FALSE POSITIVE
4950232,K01753.01,FALSE POSITIVE
9520668,K01514.01,FALSE POSITIVE
5553652,K01575.01,FALSE POSITIVE
4067336,K01761.01,FALSE POSITIVE
5387843,K01762.01,FALSE POSITIVE
5629985,K01578.01,FALSE POSITIVE
9898364,K01579.01,FALSE POSITIVE
11546211,K01654.01,FALSE POSITIVE
9850893,K01523.01,FALSE POSITIVE
4826110,K01524.01,FALSE POSITIVE
5193400,K01580.01,FALSE POSITIVE
4832197,K01661.01,FALSE POSITIVE
4844004,K01662.01,FALSE POSITIVE
9761199,K01459.01,FALSE POSITIVE
7751571,K01460.01,FALSE POSITIVE
9579499,K01461.01,FALSE POSITIVE
11913013,K01462.01,FALSE POSITIVE
7972785,K00184.01,FALSE POSITIVE
7672940,K01463.01,FALSE POSITIVE
7838655,K01464.01,FALSE POSITIVE
7770450,K01467.01,FALSE POSITIVE
11455491,K00178.01,FALSE POSITIVE
5530882,K01680.01,FALSE POSITIVE
9851226,K01468.01,FALSE POSITIVE
7543649,K01469.01,FALSE POSITIVE
11858748,K01471.01,FALSE POSITIVE
9963461,K01538.01,FALSE POSITIVE
8081482,K01539.01,FALSE POSITIVE
6048024,K01684.01,FALSE POSITIVE
6149553,K01686.01,FALSE POSITIVE
5649956,K01540.01,FALSE POSITIVE
4840513,K01541.01,FALSE POSITIVE
5217586,K01592.01,FALSE POSITIVE
9895709,K01594.01,FALSE POSITIVE
