target_id,true_label_str,period,mean_confidence,max_disagreement,prob_1d,prob_2d
tess2024223182411,confirmed_planet,,0.58885175,1.2642183005809784,1.0,0.0
tess2022164095748,confirmed_planet,,0.59848386,1.3328401148319244,1.0,0.0
tess2021175071901,confirmed_planet,,0.5323941,1.4342931807041168,1.0,0.0
tess2024030031500,confirmed_planet,,0.58407503,1.3921666741371155,1.0,0.0
tess2024196212429,confirmed_planet,,0.57383406,1.3261279165744781,1.0,0.0
tess2024223182411,confirmed_planet,,0.58787525,1.434418797492981,1.0,0.0
tess2024196212429,confirmed_planet,,0.5985475,1.0485473163425922,1.0,0.07427388429641724
tess2022164095748,confirmed_planet,,0.62085944,1.3412246406078339,1.0,0.0
tess2024030031500,confirmed_planet,,0.6117629,1.2850134670734406,1.0,0.0
tess2024030031500,confirmed_planet,,0.5954153,1.1669838428497314,1.0,0.011923372745513916
tess2024223182411,confirmed_planet,,0.5800131,1.259450912475586,1.0,0.0
tess2024003055635,confirmed_planet,,0.60924906,1.3396722674369812,1.0,0.0
tess2024196212429,confirmed_planet,,0.6184806,1.3123257756233215,1.0,0.0
tess2024030031500,confirmed_planet,,0.55624205,1.2180792540311813,1.0,0.0
tess2024030031500,confirmed_planet,,0.5756799,1.3375033140182495,1.0,0.0
tess2024003055635,confirmed_planet,,0.55272615,1.2298259884119034,1.0,0.0
tess2024030031500,confirmed_planet,,0.570952,1.2804237604141235,1.0,0.0
tess2024003055635,confirmed_planet,,0.57381284,1.1433966010808945,1.0,0.002114534378051758
tess2024170053053,confirmed_planet,,0.540636,1.228931576013565,1.0,0.0
tess2024030031500,confirmed_planet,,0.58240587,1.1698252707719803,1.0,0.0
tess2024223182411,confirmed_planet,,0.5980639,1.1553253382444382,1.0,0.0204012393951416
tess2024170053053,confirmed_planet,,0.5544635,1.2438780665397644,1.0,0.0
tess2024196212429,confirmed_planet,,0.5964473,1.2500599026679993,1.0,0.0
tess2024058030222,confirmed_planet,,0.58523476,1.1286171972751617,1.0,0.020926177501678467
tess2024196212429,confirmed_planet,,0.63782644,1.1939783096313477,1.0,0.04083728790283203
