target_id,true_label,period,p_joint,p_1d,p_2d,disagreement
10318874,false_positive,2.5137357285384496,0.41200358,1.0,0.0,1.0
10874614,false_positive,3.246942685253627,0.05698224,0.786081850528717,0.0,0.786081850528717
11125797,false_positive,7.238444929649406,0.09518059,0.5357471704483032,0.0,0.5357471704483032
11348997,false_positive,17.51543101381383,0.1374571,0.7926644086837769,0.0,0.7926644086837769
11517719,false_positive,2.452867696696696,0.0288206,0.6568831205368042,0.0,0.6568831205368042
11391018,false_positive,30.367590664210766,0.020297348,0.7086107134819031,0.0,0.7086107134819031
10616679,false_positive,25.779442406356363,0.056907453,0.663524329662323,0.0,0.663524329662323
10863608,false_positive,1.2874928555555556,0.1774311,0.7345030307769775,0.0,0.7345030307769775
10213902,false_positive,12.674520575491147,0.13798422,0.7267873287200928,0.0,0.7267873287200928
10593626,false_positive,9.814803694699597,0.3113295,1.0,0.0,1.0
10187159,false_positive,33.448511765115114,0.14505059,0.8917768001556396,0.0,0.8917768001556396
11075737,false_positive,20.671750453703694,0.13381162,0.6461219787597656,0.0,0.6461219787597656
11402995,false_positive,10.069195269387032,0.5697648,1.0,0.0,1.0
10779233,false_positive,31.115507699192005,0.03403326,0.6928874254226685,0.0,0.6928874254226685
10525027,false_positive,14.848965944234468,0.068640165,0.6639503836631775,0.0,0.6639503836631775
10587105,false_positive,17.91555229624334,0.17456698,0.7583563923835754,0.0,0.7583563923835754
10875245,false_positive,14.759587922525942,0.2800081,0.945327639579773,0.0,0.945327639579773
11507101,false_positive,38.37806505785786,0.23565216,0.9342706203460693,0.0,0.9342706203460693
11446443,false_positive,2.4759982620120127,0.4502076,1.0,0.0,1.0
10717241,false_positive,7.998548246629361,0.05891965,0.6806828379631042,0.0,0.6806828379631042
10027247,false_positive,8.141268776652051,0.25829744,0.8260083794593811,0.0,0.8260083794593811
10586004,false_positive,23.687510766403108,0.24430683,0.8879718780517578,0.0,0.8879718780517578
10718726,false_positive,44.22140239364731,0.1210494,0.6870846748352051,0.0,0.6870846748352051
10666592,false_positive,2.199785376082929,0.062012438,0.7242470979690552,0.0,0.7242470979690552
11153539,false_positive,1.4625433533925671,0.024463601,0.644783616065979,0.0,0.644783616065979
11624249,false_positive,3.647110491267062,0.22867876,0.9612950682640076,0.0,0.9612950682640076
10395381,false_positive,13.826132896478324,0.0069975373,0.5809710621833801,0.0,0.5809710621833801
