file,transit_count,period,radius_earth,semi_major_axis_au,equilibrium_temp_k,size_category,period_category
,1,22.03,7.78,,,Jupiter-sized,10-30 days
,1,11.88,121.27,,,Super-Jupiter,10-30 days
,1,30.73,2.42,,,Neptune-sized,30-100 days
,1,2.06,260.59,,,Super-Jupiter,<3 days
,1,4.66,119.16,,,Super-Jupiter,3-10 days
,1,65.21,4.57,,,Jupiter-sized,30-100 days
,1,5.63,7.57,,,Jupiter-sized,3-10 days
,1,9.17,204.97,,,Super-Jupiter,3-10 days
,1,82.79,2.63,,,Neptune-sized,30-100 days
,1,7.33,172.73,,,Super-Jupiter,3-10 days
,1,9.32,115.39,,,Super-Jupiter,3-10 days
,1,7.3,115.66,,,Super-Jupiter,3-10 days
,1,16.98,373.63,,,Super-Jupiter,10-30 days
,1,7.91,121.28,,,Super-Jupiter,3-10 days
,1,27.47,2.57,,,Neptune-sized,10-30 days
,1,12.91,323.12,,,Super-Jupiter,10-30 days
,1,6.9,228.11,,,Super-Jupiter,3-10 days
,1,95.43,8.22,,,Jupiter-sized,30-100 days
,1,4.5,1652.63,,,Super-Jupiter,3-10 days
,1,3.28,128.82,,,Super-Jupiter,3-10 days
,1,72.14,5.43,,,Jupiter-sized,30-100 days
,1,10.97,221.64,,,Super-Jupiter,10-30 days
,1,13.41,556.71,,,Super-Jupiter,10-30 days
,1,53.26,2.69,,,Neptune-sized,30-100 days
,1,1.64,148.37,,,Super-Jupiter,<3 days
,1,7.23,7.19,,,Jupiter-sized,3-10 days
,1,24.9,1.66,,,Super-Earth,10-30 days
,1,66.13,1.81,,,Super-Earth,30-100 days
,1,3.35,166.6,,,Super-Jupiter,3-10 days
,1,23.08,1045.02,,,Super-Jupiter,10-30 days
,1,30.34,2189.36,,,Super-Jupiter,30-100 days
,1,90.81,9.77,,,Jupiter-sized,30-100 days
,1,95.97,3.55,,,Neptune-sized,30-100 days
,1,13.15,196.45,,,Super-Jupiter,10-30 days
,1,12.65,155.34,,,Super-Jupiter,10-30 days
,1,16.57,683.36,,,Super-Jupiter,10-30 days
,1,92.38,7.44,,,Jupiter-sized,30-100 days
,1,10.06,729.19,,,Super-Jupiter,10-30 days
,1,3.51,2828.58,,,Super-Jupiter,3-10 days
,1,12.26,320.47,,,Super-Jupiter,10-30 days
,1,4.73,193.32,,,Super-Jupiter,3-10 days
,1,11.0,634.28,,,Super-Jupiter,10-30 days
,1,83.68,1.78,,,Super-Earth,30-100 days
,1,5.47,478.94,,,Super-Jupiter,3-10 days
,1,11.57,149.6,,,Super-Jupiter,10-30 days
,1,43.05,3.61,,,Neptune-sized,30-100 days
,1,18.71,1.82,,,Super-Earth,10-30 days
,1,9.91,220.49,,,Super-Jupiter,3-10 days
,1,2.94,91.14,,,Super-Jupiter,<3 days
,1,10.51,129.55,,,Super-Jupiter,10-30 days
,1,10.97,2615.18,,,Super-Jupiter,10-30 days
,1,71.78,6.15,,,Jupiter-sized,30-100 days
,1,62.31,6.31,,,Jupiter-sized,30-100 days
,1,23.81,1.16,,,Earth-sized,10-30 days
,1,9.76,378.32,,,Super-Jupiter,3-10 days
,1,9.25,390.9,,,Super-Jupiter,3-10 days
,1,6.78,133.99,,,Super-Jupiter,3-10 days
,1,71.35,5.39,,,Jupiter-sized,30-100 days
,1,27.84,8.81,,,Jupiter-sized,10-30 days
,1,56.92,4.53,,,Jupiter-sized,30-100 days
,1,88.78,7.94,,,Jupiter-sized,30-100 days
,1,97.1,7.04,,,Jupiter-sized,30-100 days
,1,5.97,126.59,,,Super-Jupiter,3-10 days
,1,73.2,6.42,,,Jupiter-sized,30-100 days
,1,2.07,324.25,,,Super-Jupiter,<3 days
,1,75.65,2.04,,,Neptune-sized,30-100 days
,1,27.11,462.98,,,Super-Jupiter,10-30 days
,1,7.19,100.58,,,Super-Jupiter,3-10 days
,1,2.28,108.35,,,Super-Jupiter,<3 days
,1,36.41,8.62,,,Jupiter-sized,30-100 days
,1,9.23,131.53,,,Super-Jupiter,3-10 days
,1,1.52,79.41,,,Super-Jupiter,<3 days
,1,8.77,384.77,,,Super-Jupiter,3-10 days
,1,19.7,281.69,,,Super-Jupiter,10-30 days
,1,16.48,5.74,,,Jupiter-sized,10-30 days
,1,84.35,8.43,,,Jupiter-sized,30-100 days
,1,1.55,59.61,,,Super-Jupiter,<3 days
,1,27.78,2.15,,,Neptune-sized,10-30 days
,1,83.93,2.31,,,Neptune-sized,30-100 days
,1,53.7,1.2,,,Earth-sized,30-100 days
,1,3.09,112.13,,,Super-Jupiter,3-10 days
,1,12.9,151.77,,,Super-Jupiter,10-30 days
,1,7.68,143.09,,,Super-Jupiter,3-10 days
,1,13.19,1572.93,,,Super-Jupiter,10-30 days
,1,78.51,6.09,,,Jupiter-sized,30-100 days
,1,13.24,154.18,,,Super-Jupiter,10-30 days
,1,41.28,317.09,,,Super-Jupiter,30-100 days
,1,28.12,7.9,,,Jupiter-sized,10-30 days
,1,10.28,248.75,,,Super-Jupiter,10-30 days
,1,2.78,97.12,,,Super-Jupiter,<3 days
,1,13.84,1247.85,,,Super-Jupiter,10-30 days
,1,14.45,328.42,,,Super-Jupiter,10-30 days
,1,28.73,5.64,,,Jupiter-sized,10-30 days
,1,6.92,167.81,,,Super-Jupiter,3-10 days
,1,6.05,125.68,,,Super-Jupiter,3-10 days
,1,59.29,9.9,,,Jupiter-sized,30-100 days
,1,3.45,6.54,,,Jupiter-sized,3-10 days
,1,65.73,6.12,,,Jupiter-sized,30-100 days
,1,24.32,2.74,,,Neptune-sized,10-30 days
,1,3.74,330.49,,,Super-Jupiter,3-10 days
,1,4.62,517.72,,,Super-Jupiter,3-10 days
,1,14.07,1025.88,,,Super-Jupiter,10-30 days
,1,5.4,2274.13,,,Super-Jupiter,3-10 days
,1,1.6,118.88,,,Super-Jupiter,<3 days
,1,5.42,9121.14,,,Super-Jupiter,3-10 days
,1,40.76,495.1,,,Super-Jupiter,30-100 days
,1,7.9,154.65,,,Super-Jupiter,3-10 days
,1,60.32,4.06,,,Jupiter-sized,30-100 days
,1,4.98,127.71,,,Super-Jupiter,3-10 days
,1,96.76,2.07,,,Neptune-sized,30-100 days
,1,98.79,9.07,,,Jupiter-sized,30-100 days
,1,2.26,84.76,,,Super-Jupiter,<3 days
,1,44.31,1.8,,,Super-Earth,30-100 days
,1,8.18,304.71,,,Super-Jupiter,3-10 days
,1,12.46,202.14,,,Super-Jupiter,10-30 days
,1,99.09,6.95,,,Jupiter-sized,30-100 days
,1,68.51,7.44,,,Jupiter-sized,30-100 days
,1,11.79,223.48,,,Super-Jupiter,10-30 days
,1,63.17,7.3,,,Jupiter-sized,30-100 days
,1,92.06,8.7,,,Jupiter-sized,30-100 days
,1,2.44,1.89,,,Super-Earth,<3 days
,1,2.06,384.39,,,Super-Jupiter,<3 days
,1,53.0,4.25,,,Jupiter-sized,30-100 days
,1,1.27,133.92,,,Super-Jupiter,<3 days
,1,1.99,90.53,,,Super-Jupiter,<3 days
,1,83.64,5.74,,,Jupiter-sized,30-100 days
,1,7.53,284.56,,,Super-Jupiter,3-10 days
,1,5.66,144.6,,,Super-Jupiter,3-10 days
,1,12.58,145.84,,,Super-Jupiter,10-30 days
,1,24.78,5.29,,,Jupiter-sized,10-30 days
,1,27.8,1.3,,,Super-Earth,10-30 days
,1,12.98,134.44,,,Super-Jupiter,10-30 days
,1,13.21,152.16,,,Super-Jupiter,10-30 days
,1,4.24,6.27,,,Jupiter-sized,3-10 days
,1,28.85,5.05,,,Jupiter-sized,10-30 days
,1,90.07,5.56,,,Jupiter-sized,30-100 days
,1,9.1,426.42,,,Super-Jupiter,3-10 days
,1,4.07,120.78,,,Super-Jupiter,3-10 days
,1,13.2,189.32,,,Super-Jupiter,10-30 days
,1,13.36,2336.57,,,Super-Jupiter,10-30 days
,1,1.47,102.56,,,Super-Jupiter,<3 days
,1,16.99,2587.44,,,Super-Jupiter,10-30 days
,1,39.37,9.93,,,Jupiter-sized,30-100 days
,1,23.04,8.81,,,Jupiter-sized,10-30 days
,1,4.54,110.32,,,Super-Jupiter,3-10 days
,1,60.53,5.92,,,Jupiter-sized,30-100 days
