target_id,period
165763244,24.0510453
166648874,15.1512051
166648874,8.1960758
166648874,0.5019031
180695581,0.54937
37718056,3.65688
232038798,4.1536624
183532609,8.1587261
437261733,5.4161129
44745133,7.8181434
50712784,5.4053583
53458803,3.3489038
53750200,4.1933422
98283926,2.2920348
98545929,1.888231
339522221,1.82069
308425348,3.39829
102192004,4.2337078
183537452,3.9227122
363851359,2.5441537
112099249,5.17958
112604564,4.5768651
114299824,4.2042078
58463434,
439610306,1.79988
147660886,17.3057923
41173048,6.40938
219466784,
70887357,723.8345008
243187830,1071.0898448
350618622,52.9781419
350618622,5.8492379
26547036,1134.6723963
136916387,11.5778362
136916387,27.5920718
136916387,
138294130,3.0565259
188589164,2.6162769
198588220,4.8099755
368287008,3.3491408
219462190,
441765914,124.72987
341815197,49.9950015
52204645,4.3794298
233721037,230.92212
219778329,177.2188871
393965778,4.3032642
402898317,53.8108713
356016119,18.7931749
235678745,17.664866
235678745,28.1722501
142748283,3.1190716
142748283,6.3878202
279982557,1.7890217
356700488,
230386397,19.5078657
233680651,5.1354577
160162987,23.0531698
364075352,37.83633
8516795,8.2148505
260043723,3.1385875
154741689,9.2786686
75656058,1.78166
76197937,1.78252
293567206,0.6856225
159815224,2.9601848
405717754,4.4379727
123495874,7.8914271
123233041,3.5224751
164892194,3.024111
237913194,15.1689723
32090583,0.4384814
32090583,8.3522143
371443216,2.8240691
118956453,2.3447752
143143769,1.3372349
14344979,4.1117731
207077681,2.278575
157266693,3.8537616
183985250,0.7920646
160578764,2.8786641
162922904,3.8186276
386259537,5.6107737
172598832,3.2633165
125739286,4.5111234
176685457,4.4352884
178289267,2.3506186
268301217,0.9466787
128449971,12.7060866
325172035,2.8970202
219508169,6.8161105
219508169,2.4590369
219508169,25.3369848
357416482,5.49826
357501308,7.4355709
159781361,15.3468182
355509914,1.7386695
39903405,5.633477
236312126,3.9415041
11996814,0.4487349
16884216,11.1900486
255930614,2.8758831
394050135,8.8720542
407059875,7.1925327
335996558,1.46329
336456596,0.77871
445254275,2.57134
259962054,51.94509
141608198,9.0105414
219436394,23.6573994
165527918,9.0753271
289590465,6.7060238
289590465,
160491359,2.6620728
160491359,20.2926468
367630162,3.2723118
367630162,5.904369
367630162,15.1808746
367630162,1.9803146
367630162,9.56111
156199502,15.9152686
393911494,0.6332593
446549906,2.45457
347538174,6.8019625
298663873,260.1740061
233068569,8.379057
268823307,3.5484481
1715469662,6.5011256
176956893,6.9067868
355096431,7.2147718
238171173,4.476922
270472265,2.7492277
260797169,3.735051
270342589,4.4343277
260609205,4.4617755
389421473,5.3160704
262471759,4.0115394
277890574,6.2643442
401604346,2.1223673
271478281,15.3419095
24695044,4.164514
372172128,1.1953968
389352124,4.954648
100566492,4.9549631
369455629,3.3771114
150098860,10.6953083
142105158,2.9360281
219306934,1.3477642
358107516,11.9124942
355600246,3.05631
467971286,2.2250514
260298958,0.8891483
381856447,1.7690121
